official_name,short_name,ISO3,Region Name,Intermediate Region Name,Sub-region Name
Republic of Albania,Albania,ALB,Europe,,Southern Europe
Republic of Angola,Angola,AGO,Africa,Middle Africa,Sub-Saharan Africa
Argentine Republic,Argentina,ARG,Americas,South America,Latin America and the Caribbean
Republic of Armenia,Armenia,ARM,Asia,,Western Asia
Commonwealth of Australia,Australia,AUS,Oceania,,Australia and New Zealand
Republic of Azerbaijan,Azerbaijan,AZE,Asia,,Western Asia
Commonwealth of the Bahamas,Bahamas,BHS,Americas,Caribbean,Latin America and the Caribbean
Kingdom of Bahrain,Bahrain,BHR,Asia,,Western Asia
People's Republic of Bangladesh,Bangladesh,BGD,Asia,,Southern Asia
Republic of Belarus,Belarus,BLR,Europe,,Eastern Europe
Belize,Belize,BLZ,Americas,Central America,Latin America and the Caribbean
Republic of Benin,Benin,BEN,Africa,Western Africa,Sub-Saharan Africa
Plurinational State of Bolivia,Bolivia,BOL,Americas,South America,Latin America and the Caribbean
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe,,Southern Europe
Republic of Botswana,Botswana,BWA,Africa,Southern Africa,Sub-Saharan Africa
Federative Republic of Brazil,Brazil,BRA,Americas,South America,Latin America and the Caribbean
Republic of Bulgaria,Bulgaria,BGR,Europe,,Eastern Europe
Burkina Faso,Burkina Faso,BFA,Africa,Western Africa,Sub-Saharan Africa
Kingdom of Cambodia,Cambodia,KHM,Asia,Mekong,South-eastern Asia
Republic of Cameroon,Cameroon,CMR,Africa,Middle Africa,Sub-Saharan Africa
Canada,Canada,CAN,Americas,,Northern America
Republic of Chile,Chile,CHL,Americas,South America,Latin America and the Caribbean
People's Republic of China,China,CHN,Asia,,Eastern Asia
Hong Kong SAR,Hong Kong,HKG,Asia,,Eastern Asia
Republic of Colombia,Colombia,COL,Americas,South America,Latin America and the Caribbean
Republic of Costa Rica,Costa Rica,CRI,Americas,Central America,Latin America and the Caribbean
Republic of Croatia,Croatia,HRV,Europe,,Southern Europe
Czech Republic,Czech Republic,CZE,Europe,,Eastern Europe
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,Africa,Western Africa,Sub-Saharan Africa
Democratic Republic of the Congo,DR Congo,COD,Africa,Middle Africa,Sub-Saharan Africa
Kingdom of Denmark,Denmark,DNK,Europe,,Northern Europe
Dominican Republic,Dominican Republic,DOM,Americas,Caribbean,Latin America and the Caribbean
Republic of Ecuador,Ecuador,ECU,Americas,South America,Latin America and the Caribbean
